EG	GN	GI	Type	Len	Ori	LeftEnd	RightEnd	Syn	MN	Description	
EG10001	alr	g1790487	aa	359	Clockwise	4263805	4264884	Null	Alanine racemase	Alanine racemase
EG10002	modB	g1786980	aa	229	Clockwise	795085	795774	chlJ	Molybdenum	Molybdate uptake; chlorate resistance; membrane-spanning ABC protein
EG10003	cysZ	g1788753	aa	253	Clockwise	2529485	2530246	Null	Cysteine	Function unknown, upstream of cysK
EG10004	dfp	g87082301	aa	406	Clockwise	3810754	3811974	coaBC	DNA synthesis FlavoProtein	Coenzyme A biosynthesis, bifunctional enzyme; phosphopantothenoylcysteine decarboxylase (N) and phosphopantothenoylcysteine synthase (C)
EG10005	fruB	g1788494	aa	376	Counterclockwise	2260387	2261517	fpr;fruF	Fructose	Fructosephosphotransferase enzyme III
EG10006	dcuB	g1790565	aa	446	Counterclockwise	4345427	4346767	genF	Dicarboxylate uptake	C4-dicarboxylate transporter, anaerobic
EG10007	hisM	g1788645	aa	238	Counterclockwise	2422539	2423255	Null	Histidine	Histidine transport permease
EG10008	zraS	g1790436	aa	465	Clockwise	4199949	4201346	hydH	Zn resistance-associated	Two component sensor kinase for ZraP; responsive to Zn(2+) and Pb(2+); autoregulated; regulation of Hyd-3 activity is probably due to crosstalk of overexpressed protein
EG10011	yaaA	g1786187	aa	258	Counterclockwise	5683	6459	Null	Systematic nomenclature	Low abundance protein, UPF0246 family, function unknown
EG10012	cydC	g1787112	aa	573	Counterclockwise	926697	928418	mdrA;mdrH;surB;ycaB	Cytochrome d	Glutathione, cysteine exporter CydDC, ABC transporter; exports glutathione and cysteine to the periplasm as required for cytochrome assembly; fused ABC subunits: N-terminal permease domain and C-terminal cytoplasmic ATP-binding domain
EG10013	yebA	g87081989	aa	440	Counterclockwise	1938337	1939659	Null	Systematic nomenclature	Predicted metalloprotease, function unknown; M37 family
EG10014	acrD	g1788814	aa	1037	Clockwise	2585617	2588730	yffA	Acridine	Aminoglycoside efflux pump; RND-type transporter
EG10015	rodZ	g1788864	aa	337	Counterclockwise	2639853	2640866	yfgA	Rod-shaped	Cytoskeletal protein required for MreB assembly; required for swarming phenotype; transmembrane protein
EG10016	garL	g1789514	aa	256	Counterclockwise	3270809	3271579	yhaF	Galactarate	2-dehydro-3-deoxygalactarate aldolase; homohexameric
EG10017	ispB	g1789578	aa	323	Clockwise	3331732	3332703	cel;yhbD	Isoprenoid	Octaprenyl diphosphate synthase, isoprenoid biosynthesis
EG10018	csrD	g1789650	aa	646	Counterclockwise	3399414	3401354	yhdA	Carbon storage regulator 	Targets csrBC sRNAs for degradation by RNase E; degenerate GGDEF/EAL protein; carbon flux regulator; indirectly affects CsrA function
EG10020	cpxR	g2367329	aa	232	Counterclockwise	4102995	4103693	yiiA	Conjugative plasmid expression	Response regulator, periplasmic stress response; CpxA is cognate sensor protein
EG10021	yjiA	g87082430	aa	318	Counterclockwise	4585932	4586888	Null	Systematic nomenclature	Predicted GTPase, binds GTP, function unknown
EG10022	aceA	g1790445	aa	434	Clockwise	4215132	4216436	icl	Acetate	Isocitrate lyase, acetate utilization, glyoxylate shunt; tetrameric
EG10023	aceB	g1790444	aa	533	Clockwise	4213501	4215102	mas	Acetate	Malate synthase A; glyoxylate shunt enzyme
EG10024	aceE	g1786304	aa	887	Clockwise	123017	125680	Null	Acetate	Pyruvate dehydrogenase, decarboxylase component E1; acetate requirement
EG10025	aceF	g1786305	aa	630	Clockwise	125695	127587	Null	Acetate	Pyruvate dehydrogenase, dihydrolipoamide acetyltransferase E2; acetate requirement
EG10026	aceK	g1790446	aa	578	Clockwise	4216619	4218355	Null	Acetate	Isocitrate dehydrogenase kinase/phosphatase
EG10027	ackA	g1788633	aa	400	Clockwise	2411492	2412694	Null	Acetate kinase	Acetate kinase, produces acetyl phosphate; mutants are fluoroacetate resistant; creBC regulon; binds Zn(II)
EG10028	pflA	g1787130	aa	246	Counterclockwise	949563	950303	act	Pyruvate formate lyase	Pyruvate formate lyase I activase
EG10029	ada	g1788542	aa	354	Counterclockwise	2307363	2308427	Null	Adaptive (response)	O6-methylguanine-DNA methyltransferase, transcription factor; inducible; DNA repair against methylating and alkylating agents; binds Zn(II)
EG10030	add	g1787910	aa	333	Clockwise	1700257	1701258	Null	Adenosine deaminase	Adenosine deaminase
EG10031	adhE	g1787493	aa	891	Counterclockwise	1294669	1297344	adhC;ana	Alcohol/acetaldehyde dehydrogenase	Alcohol dehydrogenase, largely anaerobic; aerobic antioxidant; acetaldehyde-CoA dehydrogenase, CoA-linked; allyl alcohol resistance
EG10032	adk	g1786680	aa	214	Clockwise	496399	497043	dnaW;plsA	Adenylate kinase	Adenylate kinase; weak nucleoside diphosphate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity; monomeric
EG10033	agp	g1787237	aa	413	Clockwise	1064808	1066049	Null	Acid glucose-1-phosphatase	Periplasmic glucose-1-phosphatase, acidic; has inositol phosphatase activity
EG10034	alaS	g1789048	aa	876	Counterclockwise	2817403	2820033	act;ala-act;lovB	Alanine	Alanine--tRNA ligase
EG10035	aldA	g1787684	aa	479	Clockwise	1486256	1487695	ald	Aldehyde dehydrogenase	Aldehyde dehydrogenase, NAD-dependent; active on lactaldehyde, glycolaldehyde, and other aldehydes
EG10036	puuC	g1787558	aa	495	Clockwise	1360767	1362254	aldH	PUtrescine Utilization	gamma-Glutamyl-gamma-aminobutyraldehyde dehydrogenase; putrescine utilization pathway
EG10037	alkB	g1788541	aa	216	Counterclockwise	2306713	2307363	aidD	Alkylation	Alkylated DNA repair enzyme; alpha-ketoglutarate- and Fe(II)-dependent dioxygenase; releases replication blocks by oxidative demethylation of 1-methyladenine and 3-methylcytosine residues in ssDNA and dsDNA
EG10039	amn	g1788293	aa	484	Clockwise	2053085	2054539	Null	AMP nucleosidase	AMP nucleosidase
EG10040	ampC	g1790593	aa	377	Counterclockwise	4375834	4376967	ampA	Ampicillin	Intrinsic weak beta-lactamase activity; penicillin resistance; affects morphology; penicillin-binding protein
EG10041	ampD	g1786300	aa	183	Clockwise	118733	119284	Null	Ampicillin	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase
EG10042	ampE	g1786301	aa	284	Clockwise	119281	120135	Null	Ampicillin	Ampicillin resistance; membrane protein
EG10043	cysQ	g1790659	aa	246	Clockwise	4434778	4435518	amt;amtA	Cysteine	3'-phosphoadenosine 5'-phosphate (pAp) phosphatase; converts pAp to AMP; inhibited by lithium and calcium, leading to pAP accumulation; probable PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase: probably converts PAPS to
EG10044	osmE	g1788035	aa	112	Counterclockwise	1819942	1820280	anr	Osmotically inducible	Osmotically inducible lipoprotein, function unknown
EG10045	ansA	g1788065	aa	338	Clockwise	1848884	1849900	Null	Asparaginase	L-Asparaginase I
